ts_code,bond_short_name,publish_date,end_date,issue_size,convert_price_initial,convert_price,convert_val,convert_vol,convert_ratio,acc_convert_val,acc_convert_vol,acc_convert_ratio,remain_size,total_shares
110073.SH,国投转债,20260715,20260715,8000000000.0,15.25,9.27,94943.34,10242.0,0.001187,1264290.05,116746.0,0.0158,7998735709.95,6394028315.0
110081.SH,闻泰转债,20260715,20260715,8600000000.0,96.69,18.36,125894.52,6857.0,0.001464,1392473587.24,75692048.0,16.1916,7207490412.76,1320300708.0
110074.SH,精达转债,20260714,20260714,787000000.0,3.75,3.26,296986.0,91100.0,0.037736,601853390.02,170463768.0,76.4744,185146609.98,2175202292.0
110073.SH,国投转债,20260714,20260714,8000000000.0,15.25,9.27,6943.23,749.0,8.7e-05,1169346.71,106504.0,0.0146,7998830653.29,6394018073.0
110081.SH,闻泰转债,20260714,20260714,8600000000.0,96.69,18.36,102889.44,5604.0,0.001196,1392347692.72,75685191.0,16.1901,7207616307.28,1320293851.0
110077.SH,洪城转债,20260714,20260714,1800000000.0,7.13,4.41,19142875.08,4340788.0,1.063493,1157326728.24,204778736.0,64.2959,642673271.76,1290002556.0
110074.SH,精达转债,20260713,20260713,787000000.0,3.75,3.26,2154948.02,661027.0,0.273818,601556404.02,170372668.0,76.4366,185443595.98,2175111192.0
111024.SH,澳弘转债,20260713,20260713,580000000.0,34.04,33.54,1978.86,59.0,0.000341,44930.38,1317.0,0.0077,579955069.62,142925267.0
110073.SH,国投转债,20260713,20260713,8000000000.0,15.25,9.27,16917.75,1825.0,0.000211,1162403.48,105755.0,0.0145,7998837596.52,6394017324.0
110077.SH,洪城转债,20260713,20260713,1800000000.0,7.13,4.41,5048903.16,1144876.0,0.280495,1138183853.16,200437948.0,63.2324,661816146.84,1285661768.0
110081.SH,闻泰转债,20260713,20260713,8600000000.0,96.69,18.36,165362149.08,9006653.0,1.922816,1392244803.28,75679587.0,16.1889,7207719196.72,1320288247.0
110081.SH,闻泰转债,20260710,20260710,8600000000.0,96.69,18.36,162038989.08,8825653.0,1.884174,1226882654.2,66672934.0,14.2661,7373081345.8,1311281594.0
110073.SH,国投转债,20260710,20260710,8000000000.0,15.25,9.27,15981.48,1724.0,0.0002,1145485.73,103930.0,0.0143,7998854514.27,6394015499.0
110074.SH,精达转债,20260710,20260710,787000000.0,3.75,3.26,7107885.58,2180333.0,0.903162,599401456.0,169711641.0,76.1628,187598544.0,2174450165.0
111022.SH,锡振转债,20260709,20260709,520000000.0,22.64,22.39,4992.97,223.0,0.00096,264992.97,11704.0,0.051,519735007.03,350097920.0
111012.SH,福新转债,20260709,20260709,429018000.0,13.85,11.07,996.3,90.0,0.000232,327384995.73,24255177.0,76.3103,101633004.27,301889029.0
110073.SH,国投转债,20260709,20260709,8000000000.0,15.25,9.27,63963.0,6900.0,0.0008,1129504.25,102206.0,0.0141,7998870495.75,6394013775.0
110090.SH,爱迪转债,20260709,20260709,1570000000.0,18.93,17.15,994.7,58.0,6.3e-05,395994.7,21673.0,0.0252,1569604005.3,1030019351.0
110074.SH,精达转债,20260709,20260709,787000000.0,3.75,3.26,7547891.04,2315304.0,0.959071,592293570.42,167531308.0,75.2597,194706429.58,2172269832.0
110081.SH,闻泰转债,20260709,20260709,8600000000.0,96.69,18.36,61018597.08,3323453.0,0.709519,1064843665.12,57847281.0,12.3819,7535120334.88,1302455941.0
110077.SH,洪城转债,20260709,20260709,1800000000.0,7.13,4.41,131991.0,29930.0,0.007333,1133134950.0,199293072.0,62.9519,666865050.0,1284516892.0
110085.SH,通22转债,20260708,20260708,12000000000.0,38.36,34.6,968.8,28.0,8e-06,16909968.8,442784.0,0.1409,11983082031.2,4501990968.0
110084.SH,贵燃转债,20260708,20260708,1000000000.0,7.18,7.1,2989.1,421.0,0.000299,184270989.1,25800083.0,18.4271,815726010.9,1163985110.0
110081.SH,闻泰转债,20260708,20260708,8600000000.0,96.69,18.36,101615953.68,5534638.0,1.181581,1003825068.04,54523828.0,11.6724,7596138931.96,1299132488.0
110092.SH,三房转债,20260708,20260708,2500000000.0,3.02,3.02,14997.32,4966.0,0.0006,381473995.42,126314505.0,15.259,2118526004.58,4022654181.0
110087.SH,天业转债,20260708,20260708,3000000000.0,6.9,5.6,996.8,178.0,3.3e-05,2493996.8,443261.0,0.0831,2997506003.2,1707797521.0
