model,factor,rebalance_date,return_date,n_obs,ic,rank_ic
BS,volatility,2022-06-24,2022-07-29,316,-0.0685481713962651,0.0015839422859348588
BS,bs_deviation,2022-07-29,2022-08-26,306,0.3232868516962813,0.0779591674764623
BS,liquidity,2022-07-29,2022-08-26,306,-0.3528379478122318,-0.319013055388526
BS,momentum,2022-07-29,2022-08-26,306,-0.10037613793850583,-0.20563412223665037
BS,price_volume,2022-07-29,2022-08-26,306,-0.30092476252803263,-0.3517545027002557
BS,valuation,2022-07-29,2022-08-26,306,0.3061687972825086,0.2695931605088569
BS,volatility,2022-07-29,2022-08-26,306,-0.31342241390085296,-0.4155788921290026
BS,bs_deviation,2022-08-26,2022-09-30,304,-0.11788506922801367,-0.23474017375853204
BS,liquidity,2022-08-26,2022-09-30,304,-0.48119610898516885,-0.5007154511827369
BS,momentum,2022-08-26,2022-09-30,304,0.14611622351640594,0.16547382089373736
BS,price_volume,2022-08-26,2022-09-30,304,-0.27822599329717534,-0.3554745897367994
BS,valuation,2022-08-26,2022-09-30,304,0.12562743351453995,0.15004228636841252
BS,volatility,2022-08-26,2022-09-30,304,-0.5375252787123154,-0.6367049949170931
BS,bs_deviation,2022-09-30,2022-10-28,261,-0.027070370093405155,-0.003974055250707001
BS,liquidity,2022-09-30,2022-10-28,261,-0.26564870644237365,-0.2807391958747579
BS,momentum,2022-09-30,2022-10-28,261,0.08821965145656507,0.018125552608311227
BS,price_volume,2022-09-30,2022-10-28,261,-0.09432444000723572,-0.08340116494894068
BS,valuation,2022-09-30,2022-10-28,261,0.011147748235399199,-0.10968271002490534
BS,volatility,2022-09-30,2022-10-28,261,-0.12943844299772272,-0.06581421561679525
BS,bs_deviation,2022-10-28,2022-11-25,305,0.00213826512192917,0.10500812059077298
BS,liquidity,2022-10-28,2022-11-25,305,-0.053582827362437475,-0.0829091170549324
BS,momentum,2022-10-28,2022-11-25,305,0.0561161980097053,-0.14994078735894703
BS,price_volume,2022-10-28,2022-11-25,305,0.057454811829144775,-0.055214095992150096
BS,valuation,2022-10-28,2022-11-25,305,0.23596586047309995,0.27854937488368947
BS,volatility,2022-10-28,2022-11-25,305,-0.061746723468949875,-0.04107919267793398
BS,bs_deviation,2022-11-25,2022-12-30,303,0.16518407335397003,-0.06547715594145681
BS,liquidity,2022-11-25,2022-12-30,303,-0.18702378373945408,-0.192031411227564
BS,momentum,2022-11-25,2022-12-30,303,-0.22624688911319457,-0.10221417750000862
BS,price_volume,2022-11-25,2022-12-30,303,-0.2068529171597512,-0.22451633887682948
BS,valuation,2022-11-25,2022-12-30,303,0.2709028759202243,0.03195303845476914
BS,volatility,2022-11-25,2022-12-30,303,-0.25212748733762963,-0.32223598797662967
BS,bs_deviation,2022-12-30,2023-01-20,274,0.10601369611129953,0.26464426084864046
BS,liquidity,2022-12-30,2023-01-20,274,0.195818209592735,0.11770565201222137
BS,momentum,2022-12-30,2023-01-20,274,-0.19838787140463307,-0.32923543609675
BS,price_volume,2022-12-30,2023-01-20,274,0.08289918039651469,0.04663336663336664
BS,valuation,2022-12-30,2023-01-20,274,-0.2785633499368854,0.024414417699089235
BS,volatility,2022-12-30,2023-01-20,274,0.34390741990355667,0.4498115023662469
BS,bs_deviation,2023-01-20,2023-02-24,314,0.04872213816458823,-0.09945395223269095
BS,liquidity,2023-01-20,2023-02-24,314,-0.08674610485343713,-0.25179149212034174
BS,momentum,2023-01-20,2023-02-24,314,-0.07269181919056138,-0.2605170156624136
BS,price_volume,2023-01-20,2023-02-24,314,-0.06693784762246707,-0.0908501387164825
BS,valuation,2023-01-20,2023-02-24,314,0.14212891632057553,0.022712680033450876
BS,volatility,2023-01-20,2023-02-24,314,-0.019423587047973118,-0.1961118685686765
BS,bs_deviation,2023-02-24,2023-03-31,325,-0.06822925444753138,-0.11943457950418479
BS,liquidity,2023-02-24,2023-03-31,325,-0.12784756139901898,-0.17185973221643158
BS,momentum,2023-02-24,2023-03-31,325,0.12953857967331708,0.13463042792987906
BS,price_volume,2023-02-24,2023-03-31,325,-0.029588236500997667,-0.0885122339776133
BS,valuation,2023-02-24,2023-03-31,325,0.13053509591869297,0.12221961112156475
BS,volatility,2023-02-24,2023-03-31,325,-0.16104289410322448,-0.20719313855182808
BS,bs_deviation,2023-03-31,2023-04-28,309,0.025845550458992703,0.05654536506399957
BS,liquidity,2023-03-31,2023-04-28,309,-0.0134942948095151,-0.05251991979207763
BS,momentum,2023-03-31,2023-04-28,309,0.2014445603977683,0.08618569028841498
BS,price_volume,2023-03-31,2023-04-28,309,-0.044108651756590275,-0.12693879875214042
BS,valuation,2023-03-31,2023-04-28,309,0.27923680791254385,0.21016102594555455
BS,volatility,2023-03-31,2023-04-28,309,-0.017039223276866213,-0.29367122073041263
BS,bs_deviation,2023-04-28,2023-05-26,304,0.1158614716851371,0.043714280832742466
BS,liquidity,2023-04-28,2023-05-26,304,-0.25476019505609726,-0.1574218983589472
BS,momentum,2023-04-28,2023-05-26,304,-0.0963734960395444,0.0033098693821064593
BS,price_volume,2023-04-28,2023-05-26,304,-0.10549429694866051,-0.06387291878454454
BS,valuation,2023-04-28,2023-05-26,304,0.19082961517140146,0.14865965026183378
BS,volatility,2023-04-28,2023-05-26,304,-0.3323183631042393,-0.19505804765118445
BS,bs_deviation,2023-05-26,2023-06-30,320,-0.11986575687406421,0.004944262150997568
BS,liquidity,2023-05-26,2023-06-30,320,0.13157487169980078,0.08454757858963467
BS,momentum,2023-05-26,2023-06-30,320,-0.12957973124053535,0.09120792195236282
BS,price_volume,2023-05-26,2023-06-30,320,0.14378516326708426,0.14635067236984736
BS,valuation,2023-05-26,2023-06-30,320,-0.10292101600708244,-0.01549856443910585
BS,volatility,2023-05-26,2023-06-30,320,0.2656681985390561,0.2736526968036797
BS,bs_deviation,2023-06-30,2023-07-28,332,0.03229065850818604,0.1372148182835039
BS,liquidity,2023-06-30,2023-07-28,332,-0.3242027907352004,-0.3207437408653148
BS,momentum,2023-06-30,2023-07-28,332,-0.22853653470059665,-0.2359779803445012
BS,price_volume,2023-06-30,2023-07-28,332,-0.19853367286978477,-0.2534767140743918
BS,valuation,2023-06-30,2023-07-28,332,0.16744656285062154,0.302692274773955
